Atualizado em: 2020-07-01
"PROD_CODI";"ORG_CODI";"PROD_NOME";"ORG_NOME";"ORG_NABREV";"PRODT_DESCR"
0001650;001603;T-211;AD AEROSPACE INC.;AD AEROSPACE;Avião
0000668;000039;AB-115;AERO BOERO S/A;AERO BOERO;Avião
0000669;000039;AB-180;AERO BOERO S/A;AERO BOERO;Avião
0002884;000306;J-2;AERO RESOURCES;AERO RESOURCES;Avião
0000672;001010;AMT-100;AEROMOT - INDÚSTRIA MECÂNICO-METALÚRGICA LTDA.;AEROMOT INDÚSTRIA;Planador / Motoplanador
0000673;001010;AMT-200;AEROMOT - INDÚSTRIA MECÂNICO-METALÚRGICA LTDA.;AEROMOT INDÚSTRIA;Planador / Motoplanador
0000674;001010;AMT-200S;AEROMOT - INDÚSTRIA MECÂNICO-METALÚRGICA LTDA.;AEROMOT INDÚSTRIA;Planador / Motoplanador
0000675;001010;AMT-300;AEROMOT - INDÚSTRIA MECÂNICO-METALÚRGICA LTDA.;AEROMOT INDÚSTRIA;Planador / Motoplanador
0000677;001010;AMT-600;AEROMOT - INDÚSTRIA MECÂNICO-METALÚRGICA LTDA.;AEROMOT INDÚSTRIA;Avião
0004231;001010;AMT-200SO;AEROMOT - INDÚSTRIA MECÂNICO-METALÚRGICA LTDA.;AEROMOT INDÚSTRIA;Planador / Motoplanador
0004291;001010;AMT-300O;AEROMOT - INDÚSTRIA MECÂNICO-METALÚRGICA LTDA.;AEROMOT INDÚSTRIA;Planador / Motoplanador
0002886;000304;AL60;AERONAUTICA MACCHI;AERONAUTICA MACCHI;Avião
0000042;000042;15AC;AERONCA INC.;AERONCA;Avião
0000516;000042;7AC;AERONCA INC.;AERONCA;Avião
0000520;000042;7DC;AERONCA INC.;AERONCA;Avião
0000521;000042;7EC;AERONCA INC.;AERONCA;Avião
0000522;000042;7ECA;AERONCA INC.;AERONCA;Avião
0000526;000042;7GCAA;AERONCA INC.;AERONCA;Avião
0000527;000042;7GCB;AERONCA INC.;AERONCA;Avião
0000529;000042;7GCBC;AERONCA INC.;AERONCA;Avião
0000533;000042;7KCAB;AERONCA INC.;AERONCA;Avião
0001359;000042;O-58B;AERONCA INC.;AERONCA;Avião
0002965;000042;65-C;AERONCA INC.;AERONCA;Avião
0002985;000042;S-65-CA;AERONCA INC.;AERONCA;Avião
0001133;000308;G-164;AG CAT CORPORATION;AG CAT;Avião
0001134;000308;G-164A;AG CAT CORPORATION;AG CAT;Avião
0003513;001631;L-4MB;AIR REPAIR, INC.;AIR REPAIR;Motor Aeronáutico
